Benchmark,4 Hitrate,8 Hitrate,16 Hitrate,4 Period,8 Period,16 Period,4 Slowdown,8 Slowdown,16 Slowdown
500.perlbench_r,,,,,,,,,
502.gcc_r,,,,,,,,,
503.bwaves_r,,,,,,,,,
505.mcf_r,,,,,,,,,
507.cactuBSSN_r,,,,,,,,,
508.namd_r,,,,,,,,,
510.parest_r,,,,,,,,,
511.povray_r,,,,,,,,,
519.lbm_r,,,,,,,,,
520.omnetpp_r,,,,,,,,,
521.wrf_r,,,,,,,,,
523.xalancbmk_r,,,,,,,,,
525.x264_r,,,,,,,,,
526.blender_r,,,,,,,,,
527.cam4_r,,,,,,,,,
531.deepsjeng_r,,,,,,,,,
538.imagick_r,,,,,,,,,
541.leela_r,,,,,,,,,
544.nab_r,,,,,,,,,
548.exchange2_r,,,,,,,,,
549.fotonik3d_r,,,,,,,,,
554.roms_r,,,,,,,,,
557.xz_r,,,,,,,,,
mix1,0.91,0.92,0.92,2829,2771,2759,0.979498056,1,1.004349402
mix2,0.92,0.92,0.92,3105,3021,3005,0.97294686,1,1.005324459
mix3,0.91,0.91,0.91,3171,3132,3161,0.987701041,1,0.990825688
mix4,0.94,0.94,0.94,5419,5351,5371,0.987451559,1,0.996276299
PageRank.ljournal,,,,,,,,,
Bellmanford.ljournal,,,,,,,,,
Freqmine,,,,,,,,,
Dedup,,,,,,,,,
Fluidaminate,,,,,,,,,
Low MPKI Geomean,,,,,,,,,
Medium MPKI Geomean,,,,,,,,,
High MPKI Geomean,,,,,,,,,
